,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,68.18,scattered clouds,42.6001,-73.9662,
1,Castro,BR,76.39,scattered clouds,-24.7911,-50.0119,
2,Rikitea,PF,73.56,few clouds,-23.1203,-134.9692,
3,Qaanaaq,GL,20.12,scattered clouds,77.484,-69.3632,
4,Bredasdorp,ZA,60.12,broken clouds,-34.5322,20.0403,
5,Vaini,TO,68.16,broken clouds,-21.2,-175.2,
6,Thunder Bay,CA,68.29,broken clouds,48.4001,-89.3168,
7,Bubaque,GW,83.59,overcast clouds,11.2833,-15.8333,
8,Garissa,KE,80.24,few clouds,-0.4536,39.6401,
9,Ushuaia,AR,46.06,scattered clouds,-54.8,-68.3,
10,Siderno,IT,78.28,broken clouds,38.2779,16.302,
11,Shizunai,JP,61.32,overcast clouds,42.3339,142.3669,
12,Pochutla,MX,88.56,broken clouds,15.7432,-96.4661,
13,Hambantota,LK,80.08,overcast clouds,6.1241,81.1185,
14,Santa Lucia Cotzumalguapa,GT,90.23,broken clouds,14.3333,-91.0167,
15,Khatanga,RU,32.29,overcast clouds,71.9667,102.5,
16,Norman Wells,CA,32.04,broken clouds,65.282,-126.8329,
17,Tuy Hoa,VN,77.02,scattered clouds,13.0833,109.3,
18,Nikolskoye,RU,50.88,scattered clouds,59.7035,30.7861,
19,Bethel,US,72.1,few clouds,41.3712,-73.414,
20,Tasiilaq,GL,30.49,scattered clouds,65.6145,-37.6368,
21,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,
22,Pevek,RU,30.24,light snow,69.7008,170.3133,
23,Atuona,PF,78.58,broken clouds,-9.8,-139.0333,
24,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,
25,Tuatapere,NZ,33.94,few clouds,-46.1333,167.6833,
26,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,
27,Campo De Criptana,ES,71.53,broken clouds,39.4046,-3.1249,
28,Gizo,SB,81.09,light rain,-8.103,156.8419,
29,Ginda,IN,61.74,few clouds,30.6945,78.4932,
30,Erzin,TR,78.01,clear sky,36.9559,36.2,
31,Punta Arenas,CL,44.11,broken clouds,-53.15,-70.9167,
32,Tiksi,RU,34.16,light rain,71.6872,128.8694,
33,Rafaela,AR,90.05,clear sky,-31.2503,-61.4867,
34,Monduli,TZ,67.64,scattered clouds,-3.3,36.45,
35,Mataura,NZ,29.32,clear sky,-46.1927,168.8643,
36,Beringovskiy,RU,36.59,overcast clouds,63.05,179.3167,
37,Barrow,US,14.25,broken clouds,71.2906,-156.7887,
38,Gorin,RU,47.55,overcast clouds,51.1983,136.6669,
39,Tena,EC,89.83,overcast clouds,-0.9833,-77.8167,
40,Port Blair,IN,79.43,overcast clouds,11.6667,92.75,
41,Busselton,AU,56.05,scattered clouds,-33.65,115.3333,
42,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,
43,Mar Del Plata,AR,60.82,clear sky,-38.0023,-57.5575,
44,Juru,MY,76.96,scattered clouds,5.312,100.4423,
45,Geraldton,AU,62.13,scattered clouds,-28.7667,114.6,
46,Mahebourg,MU,70.09,light rain,-20.4081,57.7,
47,Fortuna,US,60.98,overcast clouds,40.5982,-124.1573,
48,Skagen,DK,59.09,broken clouds,57.7209,10.5839,
49,Venado Tuerto,AR,82.78,clear sky,-33.7456,-61.9688,
50,Nerchinskiy Zavod,RU,38.17,broken clouds,51.3088,119.61,
51,Port Lincoln,AU,55.45,overcast clouds,-34.7333,135.8667,
52,Eyl,SO,78.98,broken clouds,7.9803,49.8164,
53,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,
54,Mimongo,GA,70.92,moderate rain,-1.6195,11.6068,
55,Tupik,RU,49.01,moderate rain,54.4253,119.9327,
56,San Carlos De Bariloche,AR,44.35,few clouds,-41.1456,-71.3082,
