City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Castro,BR,76.39,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
7,Bubaque,GW,83.59,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
8,Garissa,KE,80.24,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
10,Siderno,IT,78.28,broken clouds,38.2779,16.302,Grand Hotel President
12,Pochutla,MX,88.56,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
13,Hambantota,LK,80.08,overcast clouds,6.1241,81.1185,Bungalow 63
17,Tuy Hoa,VN,77.02,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
21,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
23,Atuona,PF,78.58,broken clouds,-9.8,-139.0333,Villa Enata
24,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Gizo,SB,81.09,light rain,-8.103,156.8419,Imagination Island
30,Erzin,TR,78.01,clear sky,36.9559,36.2,Artemis Otel
39,Tena,EC,89.83,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
40,Port Blair,IN,79.43,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
44,Juru,MY,76.96,scattered clouds,5.312,100.4423,Luscious Hotel
49,Venado Tuerto,AR,82.78,clear sky,-33.7456,-61.9688,Hotel - Miro Park
52,Eyl,SO,78.98,broken clouds,7.9803,49.8164,Amiin Hotel
61,Namatanai,PG,79.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
66,Kismayo,SO,77.32,clear sky,-0.3582,42.5454,Agan-Hotel
70,Hobyo,SO,78.46,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
71,Kieta,PG,78.62,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
72,Sao Filipe,CV,79.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
74,Butaritari,KI,83.75,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
76,Sola,VU,78.13,few clouds,-13.8833,167.55,Leumerus Bungalows
77,Keti Bandar,PK,83.25,overcast clouds,24.1447,67.4497,Haji laloo memon house
78,Bintulu,MY,78.4,overcast clouds,3.1667,113.0333,900 Boutique INN
80,Clyde,US,75.52,few clouds,41.3042,-82.9752,Red Roof Inn Clyde
88,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
92,Shirgaon,IN,80.56,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
93,Basco,PH,84.16,few clouds,20.4487,121.9702,Nathaniel's Lodge
94,Mora,CM,83.3,scattered clouds,11.0461,14.1401,Hotel Emergence
98,Mattru,SL,75.36,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
105,Kapaa,US,78.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
106,Cockburn Town,TC,82.89,clear sky,21.4612,-71.1419,Osprey Beach Hotel
108,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
114,Tutoia,BR,85.98,scattered clouds,-2.7619,-42.2744,Pousada Guará's
117,Laguna,US,83.25,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
121,Hwange,ZW,77.49,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
127,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
128,Hilo,US,76.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
130,Jaltenango,MX,82.54,overcast clouds,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
132,Hamilton,US,76.5,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
137,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
138,Bengkulu,ID,75.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Gela,IT,79.34,overcast clouds,37.0803,14.2307,B&B Santiago
142,Catamayo,EC,83.75,overcast clouds,-3.9833,-79.35,Gran Hotel Marcjohns
144,Xiongzhou,CN,78.94,light rain,25.1167,114.3,Xinhewan Business Hotel
146,Moron,AR,79.95,clear sky,-34.6534,-58.6198,Hotel Morón
150,Banda Aceh,ID,78.82,overcast clouds,5.5577,95.3222,Sulthan Hotel International
155,Agadir,MA,81.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
156,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
158,Holetown,BB,86.56,scattered clouds,13.1867,-59.6381,The Palms Resort
161,Tomatlan,MX,89.02,overcast clouds,19.9333,-105.25,El Salvial
162,Saint George,US,86.54,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
163,Marsh Harbour,BS,81.34,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
164,Nadadores,MX,78.89,overcast clouds,27.05,-101.6,Hacienda Las Catalinas
165,Cinisi,IT,78.73,broken clouds,38.1562,13.1073,Florio Park Hotel
166,Kavieng,PG,81.0,moderate rain,-2.5744,150.7967,Nusa Island Retreat
167,Mahon,ES,77.56,broken clouds,39.8885,4.2658,ARTIEM Capri
170,Howard Springs,AU,78.71,broken clouds,-12.497,131.047,buffalo beach hostel
171,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
174,La Puebla De Cazalla,ES,81.48,broken clouds,37.2216,-5.3115,Molino La Boticaria
181,Sao Francisco De Assis,BR,77.5,clear sky,-29.5503,-55.1311,Hotel Aguiar
185,Tawau,MY,77.76,scattered clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
193,Shakawe,BW,76.44,clear sky,-18.3667,21.85,Ditlhapi Guest House
197,Miri,MY,78.37,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
198,Bonthe,SL,78.26,light rain,7.5264,-12.505,Bonthe Holiday Village
199,Gainesville,US,86.79,scattered clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
200,Saint Augustine,US,88.03,clear sky,29.8947,-81.3145,St. George Inn
210,West Point,US,82.18,scattered clouds,33.6076,-88.6503,Hampton Inn & Suites West Point
211,Jolalpan,MX,85.01,overcast clouds,18.325,-98.8417,El calvario
220,Buraydah,SA,83.26,clear sky,26.326,43.975,فندق راحة السلام
221,Gilgit,PK,77.61,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
226,Omboue,GA,76.84,overcast clouds,-1.5746,9.2618,Hotel Olako
228,Nantucket,US,75.25,scattered clouds,41.2835,-70.0995,Jared Coffin House
229,Bom Jardim,BR,82.0,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
231,Bandarbeyla,SO,78.69,broken clouds,9.4942,50.8122,JABIR HOTEL
237,Price,US,76.71,clear sky,39.5994,-110.8107,National 9 - Price River Inn
238,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
245,Klaeng,TH,80.94,light rain,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
248,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
250,Havelock,US,79.05,clear sky,34.8791,-76.9013,Sherwood Motel
251,Ciudad Real,ES,77.05,broken clouds,39.0,-4.0,Hotel Pago del Vicario
254,Salalah,OM,82.2,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
256,Ajdabiya,LY,75.07,clear sky,30.7554,20.2263,Almadina Hotel
259,Bathsheba,BB,84.63,broken clouds,13.2167,-59.5167,Atlantis Hotel
261,Sur,OM,84.38,clear sky,22.5667,59.5289,Sur Plaza Hotel
264,Moorhead,US,80.98,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
274,Macas,EC,81.68,light rain,-2.3167,-78.1167,Casa Upano
275,Tifton,US,85.41,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
277,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
285,Daru,PG,77.41,overcast clouds,-9.0763,143.2092,Daru Lodge
287,Tevaitoa,PF,79.12,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
288,Fiumicino,IT,78.98,scattered clouds,41.7675,12.2291,Al Porticciolo Hotel
295,Namwala,ZM,79.52,clear sky,-15.7504,26.4384,Corner Point Lodge
