City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Upernavik,72.7868,-56.1549,25.36,64,8,2.42,GL,2021-09-26 16:20:47
1,Richards Bay,-28.783,32.0377,69.01,84,49,9.19,ZA,2021-09-26 16:20:47
2,Mayumba,-3.432,10.6554,77.52,81,94,9.37,GA,2021-09-26 16:20:47
3,Maua,-23.6678,-46.4614,84.49,50,0,7.36,BR,2021-09-26 16:20:47
4,Qaanaaq,77.484,-69.3632,19.87,69,38,7.23,GL,2021-09-26 16:20:48
5,Lebu,-37.6167,-73.65,53.15,55,13,17.36,CL,2021-09-26 16:20:48
6,Ribeira Grande,38.5167,-28.7,72.0,78,40,25.32,PT,2021-09-26 16:20:49
7,Albany,42.6001,-73.9662,68.04,54,35,1.01,US,2021-09-26 16:20:49
8,Alibag,18.6411,72.8792,80.67,82,100,5.95,IN,2021-09-26 16:20:49
9,Nacala,-14.5428,40.6728,75.74,72,9,5.01,MZ,2021-09-26 16:20:49
10,Coquimbo,-29.9533,-71.3436,64.13,63,0,11.5,CL,2021-09-26 16:20:50
11,Kodiak,57.79,-152.4072,42.31,75,40,8.05,US,2021-09-26 16:20:50
12,Moindou,-21.6924,165.677,62.55,62,75,1.59,NC,2021-09-26 16:20:51
13,Torbay,47.6666,-52.7314,64.89,64,75,13.8,CA,2021-09-26 16:20:51
14,Ifo,6.8144,3.1958,87.42,79,94,6.17,NG,2021-09-26 16:20:51
15,Chuy,-33.6971,-53.4616,69.26,62,17,2.37,UY,2021-09-26 16:20:52
16,Kavaratti,10.5669,72.642,81.82,80,62,21.16,IN,2021-09-26 16:20:52
17,Port Alfred,-33.5906,26.891,66.25,88,32,13.02,ZA,2021-09-26 16:20:53
18,Rikitea,-23.1203,-134.9692,73.85,69,22,20.92,PF,2021-09-26 16:20:53
19,Sakakah,29.9697,40.2064,87.37,22,0,8.68,SA,2021-09-26 16:20:32
20,Airai,-8.9266,125.4092,58.59,91,94,2.08,TL,2021-09-26 16:20:53
21,Pangnirtung,66.1451,-65.7125,35.6,69,20,2.3,CA,2021-09-26 16:20:54
22,Chokurdakh,70.6333,147.9167,32.77,97,100,18.16,RU,2021-09-26 16:20:55
23,Le Port,-20.9373,55.2919,71.6,76,58,4.65,RE,2021-09-26 16:16:33
24,Sola,-13.8833,167.55,78.42,78,19,15.99,VU,2021-09-26 16:20:55
25,Oistins,13.0667,-59.5333,89.69,66,20,11.5,BB,2021-09-26 16:20:55
26,Maloy,61.9353,5.1136,68.65,77,99,16.91,NO,2021-09-26 16:20:56
27,Lompoc,34.6391,-120.4579,62.56,85,90,0.0,US,2021-09-26 16:20:54
28,Komsomolskiy,40.4272,71.7189,70.52,24,0,0.0,UZ,2021-09-26 16:20:57
29,San Pedro,14.35,121.0167,83.43,79,20,3.44,PH,2021-09-26 16:20:57
30,New Norfolk,-42.7826,147.0587,40.71,73,8,2.75,AU,2021-09-26 16:20:58
31,Laibin,23.7,109.2667,82.92,65,86,2.44,CN,2021-09-26 16:20:58
32,Georgetown,5.4112,100.3354,76.95,96,40,0.0,MY,2021-09-26 16:17:23
33,Faanui,-16.4833,-151.75,78.85,77,2,15.52,PF,2021-09-26 16:20:59
34,Pevek,69.7008,170.3133,30.67,97,100,14.63,RU,2021-09-26 16:20:59
35,Cherskiy,68.75,161.3,32.2,98,100,17.98,RU,2021-09-26 16:20:59
36,High Level,58.5169,-117.136,41.11,81,75,4.61,CA,2021-09-26 16:21:01
37,Longyearbyen,78.2186,15.6401,39.04,87,75,8.05,SJ,2021-09-26 16:21:01
