City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pauini,-7.7136,-66.9764,76.23,81,48,2.37,BR,2021-09-24 01:53:32
1,Caravelas,-17.7125,-39.2481,71.04,62,65,9.53,BR,2021-09-24 01:53:32
2,Ossora,59.2353,163.0719,53.15,57,19,1.99,RU,2021-09-24 01:53:33
3,Rikitea,-23.1203,-134.9692,74.12,78,100,23.24,PF,2021-09-24 01:53:33
4,Nisia Floresta,-6.0911,-35.2086,79.61,83,21,9.78,BR,2021-09-24 01:53:33
5,Lavrentiya,65.5833,-171.0,33.08,69,100,5.17,RU,2021-09-24 01:53:34
6,Touros,-5.1989,-35.4608,79.7,79,61,15.05,BR,2021-09-24 01:53:34
7,Muli,2.9167,73.5667,83.32,75,93,14.81,MV,2021-09-24 01:53:34
8,Mataura,-46.1927,168.8643,52.48,54,97,9.75,NZ,2021-09-24 01:52:22
9,Cape Town,-33.9258,18.4232,57.61,93,75,12.66,ZA,2021-09-24 01:53:35
10,Dumas,35.8656,-101.9732,74.53,26,1,9.22,US,2021-09-24 01:53:35
11,Cayenne,4.9333,-52.3333,82.09,83,0,1.01,GF,2021-09-24 01:53:35
12,Bluff,-46.6,168.3333,52.81,76,95,25.59,NZ,2021-09-24 01:53:35
13,Albany,42.6001,-73.9662,74.62,88,100,13.2,US,2021-09-24 01:52:36
14,Ponta Delgada,37.7333,-25.6667,66.92,77,20,6.91,PT,2021-09-24 01:52:43
15,Dikson,73.5069,80.5464,34.16,73,24,8.99,RU,2021-09-24 01:53:22
16,Castro,-24.7911,-50.0119,49.77,95,10,5.95,BR,2021-09-24 01:53:36
17,Filadelfia,39.9523,-75.1638,66.36,93,90,1.99,US,2021-09-24 01:49:34
18,Puerto Escondido,15.85,-97.0667,81.32,83,81,3.04,MX,2021-09-24 01:53:36
19,Port Alfred,-33.5906,26.891,60.66,82,100,12.97,ZA,2021-09-24 01:53:36
20,Penzance,50.1186,-5.5371,56.77,90,57,7.27,GB,2021-09-24 01:53:37
21,Carnarvon,-24.8667,113.6333,71.67,64,0,20.71,AU,2021-09-24 01:53:12
22,New Norfolk,-42.7826,147.0587,56.75,72,56,8.99,AU,2021-09-24 01:53:37
23,Khatanga,71.9667,102.5,34.34,88,96,4.65,RU,2021-09-24 01:52:14
24,Dunedin,-45.8742,170.5036,58.57,43,26,9.04,NZ,2021-09-24 01:53:37
25,Asau,46.4333,26.4,47.32,81,98,8.34,RO,2021-09-24 01:53:38
26,Kapaa,22.0752,-159.319,80.47,59,100,3.0,US,2021-09-24 01:53:38
27,Sicamous,50.8331,-118.9856,67.89,65,24,3.13,CA,2021-09-24 01:53:39
28,Busselton,-33.65,115.3333,58.08,55,0,12.68,AU,2021-09-24 01:52:27
29,Mtwara,-10.2667,40.1833,74.43,82,80,8.72,TZ,2021-09-24 01:53:39
30,Dengzhou,37.8086,120.7508,73.8,68,100,6.49,CN,2021-09-24 01:53:39
31,Bethel,41.3712,-73.414,75.56,92,90,1.99,US,2021-09-24 01:53:40
32,Avarua,-21.2078,-159.775,75.25,53,40,6.91,CK,2021-09-24 01:51:49
33,Punta Arenas,-53.15,-70.9167,44.71,70,75,5.75,CL,2021-09-24 01:53:40
34,Yellowknife,62.456,-114.3525,46.92,71,75,8.05,CA,2021-09-24 01:53:41
35,Ushuaia,-54.8,-68.3,42.46,70,40,12.66,AR,2021-09-24 01:52:13
36,Canatlan,24.5167,-104.7833,61.32,80,100,3.98,MX,2021-09-24 01:53:41
37,Faanui,-16.4833,-151.75,77.49,73,5,14.23,PF,2021-09-24 01:53:01
38,Port Elizabeth,-33.918,25.5701,56.1,80,100,10.45,ZA,2021-09-24 01:53:41
39,Esperance,-33.8667,121.9,57.04,59,53,11.01,AU,2021-09-24 01:53:42
40,Cidreira,-30.1811,-50.2056,61.18,94,100,11.86,BR,2021-09-24 01:53:42
41,Mahebourg,-20.4081,57.7,71.89,83,75,11.5,MU,2021-09-24 01:53:42
42,Merauke,-8.4667,140.3333,81.07,75,63,11.41,ID,2021-09-24 01:53:43
43,Hambantota,6.1241,81.1185,79.14,94,20,3.44,LK,2021-09-24 01:53:43
44,Cherskiy,68.75,161.3,33.66,66,83,8.23,RU,2021-09-24 01:53:44
45,Vaini,-21.2,-175.2,82.56,78,75,11.5,TO,2021-09-24 01:53:44
46,Nikolskoye,59.7035,30.7861,46.29,85,99,11.99,RU,2021-09-24 01:53:44
47,Lagoa,39.05,-27.9833,68.79,63,100,11.61,PT,2021-09-24 01:53:45
48,Mount Gambier,-37.8333,140.7667,57.11,54,40,24.16,AU,2021-09-24 01:53:45
49,Puerto Ayora,-0.7393,-90.3518,68.92,87,66,7.43,EC,2021-09-24 01:53:45
50,Sinnamary,5.3833,-52.95,79.86,84,22,11.01,GF,2021-09-24 01:53:46
51,Aklavik,68.2191,-135.0107,36.32,85,100,2.55,CA,2021-09-24 01:53:47
52,Awbari,26.5921,12.7805,77.54,17,5,1.68,LY,2021-09-24 01:53:48
53,Smithers,54.7804,-127.1743,44.92,100,90,2.3,CA,2021-09-24 01:53:48
54,Slave Lake,55.2834,-114.769,49.98,50,1,9.22,CA,2021-09-24 01:49:20
55,Dingle,10.9995,122.6711,85.46,74,76,8.25,PH,2021-09-24 01:53:48
56,Qaanaaq,77.484,-69.3632,16.79,61,100,5.97,GL,2021-09-24 01:53:48
57,Quelimane,-17.8786,36.8883,67.95,88,20,2.3,MZ,2021-09-24 01:53:49
58,Saint-Philippe,-21.3585,55.7679,69.35,80,38,10.6,RE,2021-09-24 01:52:18
59,Boo,59.3333,18.2833,46.98,93,90,16.11,SE,2021-09-24 01:53:49
60,Hovd,48.0056,91.6419,48.02,34,96,3.47,MN,2021-09-24 01:53:49
